id,title,place,description,site_url,favorites_count,comments_count,publication_date
51307,Чёрные лисички и многоглавые боровики: грибники Петербурга и Ленобласти делятся фотографиями трофеев,,Жара грозит сорвать осенний сезон сбора грибов.,https://kudago.com/spb/news/gribniki-peterburga-i-lenoblasti-delyatsya-fotografiyami/,0,0,2024-09-09
51234,Город глазами художника Никаса Сафронова,Петропавловская крепость,"В Петропавловской крепости стартовала персональная выставка художника Никаса Сафронова под названием «Большая Любовь к Петербургу». Мы встретились с ним на её открытии и поговорили с ним о том, каким он видит Северную столицу. Вот что из этого получилось.",https://kudago.com/all/news/gorod-glazami-hudozhnika-nikasa/,0,0,2024-09-09
51305,В Петербурге продолжается лето,,Эта неделя будет сухой и тёплой.,https://kudago.com/spb/news/v-peterburge-prodolzhaetsya-leto/,0,0,2024-09-09
51300,"Москва лидирует в списке городов, где живут одиночки",,Тренд на самостоятельную жизнь набирает обороты.,https://kudago.com/all/news/moskva-lidiruet-v-spiske/,0,0,2024-09-06
51299,Вышел новый трейлер сказочного мюзикла «Злая» с Ариной Гранде,,Премьера ожидается в конце осени.,https://kudago.com/all/news/vyishel-novyij-trejler-skazochnogo/,0,0,2024-09-06
51298,Linkin Park анонсировали тур и новый альбом,,У группы новые вокалистка и барабанщик.,https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/,0,0,2024-09-06
51295,В Пушкине отремонтировали мост-памятник,,По нему идёт дорога к железнодорожному вокзалу.,https://kudago.com/spb/news/v-pushkine-otremontirovali-most-/,0,0,2024-09-06
51294,РЖД продлили маршрут туристического поезда «Зоопарк экспресс» в Карелии,,Состав продолжит курсировать осенью,https://kudago.com/spb/news/rzhd-prodlili-marshrut/,0,0,2024-09-06
51212,"Прятки, салки и Шекспир: рецензия на спектакль «Барышня-крестьянка» в Молодёжном театре на Фонтанке",,"Молодёжный театр на Фонтанке представил собственную сценическую версию «Барышни-крестьянки» из цикла Александра Сергеевича Пушкина «Повести Белкина». Премьера состоялась в рамках фестиваля «Петербург. Пространство Пушкина», приуроченного к 225-летию поэта. В постановке режиссёра Натальи Архиповой лаконичный пушкинский шедевр оброс дополнительными персонажами и сюжетными линиями, сохранив первоначальную лёгкость и очарование. Руководитель постановки — Семён Спивак.",https://kudago.com/spb/news/review-spektakl-baryshnya-krestianka/,1,0,2024-09-06
51292,Петербургу обещают новые температурные рекорды,,Летняя погода задержится в Северной столице.,https://kudago.com/spb/news/peterburgu-obeschayut-novyie/,0,0,2024-09-06
51258,«Дорожное радио» проведёт специальный эфир из Петропавловской крепости,,Слушателей ждём особое шоу.,https://kudago.com/spb/news/dorozhnoe-radio-provedyot/,0,0,2024-09-06
51282,В Ленобласти грибы растут даже в лисьих норах,,Фотографии находки появились в соцсетях.,https://kudago.com/spb/news/v-lenoblasti-gribyi-nahodyat-dazhe/,0,0,2024-09-05
51281,В программу следующих «Поющих мостов» вошли песни в исполнении Галины Вишневской,,Шоу посвятят дню начала Блокады Ленинграда.,https://kudago.com/spb/news/v-programmu-sleduyuschih-poyuschih/,0,0,2024-09-05
51280,Netflix заказал мультсериал по «Сумеркам»,,"В основу ляжет роман, написанный от лица Эдварда Каллена.",https://kudago.com/all/news/netflix-zakazal-multserial-po-sumerkam/,0,0,2024-09-05
51279,«Убийства в одном здании» получили пятый сезон,,Сейчас транслируют четвёртый.,https://kudago.com/all/news/ubijstva-v-odnom-zdanii/,0,0,2024-09-05
51278,Проект VK Места выпустил фильм о Санкт-Петербурге,,Ведущие побывали в старинных дворцах и современных музеях.,https://kudago.com/spb/news/proekt-vk-mesta-vyipustil-film-o/,0,0,2024-09-05
51277,"Стало известно, когда в Петербурге внедрят новые способы оплаты проезда",,Их тестирование начнётся осенью.,https://kudago.com/spb/news/kogda-v-peterburge-vnedryat-novye-sposoby-oplaty-proezda/,0,0,2024-09-05
51274,Строительство ВСМ между Москвой и Петербургом собираются начать в сентябре,,На её прокладку намерены потратить не более пяти лет.,https://kudago.com/all/news/stroitelstvo-vsm-moskva-/,0,0,2024-09-05
51272,Критики выбрали 100 лучших эпизодов из американских сериалов,,"В топ попали не только современные шоу, но и классика ТВ.",https://kudago.com/all/news/100-luchshih-epizodov-iz-amerikanskih-serialov/,0,0,2024-09-05
51269,Главный штаб закроют на три дня,,Остальные музейные пространства Эрмитажа работают по привычному графику.,https://kudago.com/spb/news/glavnyij-shtab-zakroyut-na-tri-dnya/,0,0,2024-09-05
51268,Новая книга Виктора Пелевина выйдет в этом году,,Писатель скрасил ожидание фанатов специальным плейлистом.,https://kudago.com/all/news/novaya-kniga-viktora-pelevina/,0,0,2024-09-05
51266,В России начнут проводить школьные олимпиады по труду,,Первая состоится в этом году.,https://kudago.com/all/news/v-rossii-nachnut-provodit/,0,0,2024-09-04
51265,В Петербурге первоклассникам подарят билеты в кино,,С собой предлагают взять одного из родителей.,https://kudago.com/spb/news/v-peterburge-pervoklassnikam/,0,0,2024-09-04
